"","i","j","Fij"
"1","T1","T1",291058
"2","T1","T10",8297
"3","T1","T11",3889
"4","T1","T12",17064
"5","T1","T2",12163
"6","T1","T3",32682
"7","T1","T4",81129
"8","T1","T5",16622
"9","T1","T6",25317
"10","T1","T7",1962
"11","T1","T8",18756
"12","T1","T9",1997
"13","T10","T1",73743
"14","T10","T10",19501
"15","T10","T11",11707
"16","T10","T12",4931
"17","T10","T2",140
"18","T10","T3",2387
"19","T10","T4",9124
"20","T10","T5",111
"21","T10","T6",2979
"22","T10","T8",6236
"23","T10","T9",3497
"24","T11","T1",22408
"25","T11","T10",9359
"26","T11","T11",12108
"27","T11","T12",6084
"28","T11","T2",223
"29","T11","T3",652
"30","T11","T4",1527
"31","T11","T6",680
"32","T11","T8",1023
"33","T11","T9",828
"34","T12","T1",68625
"35","T12","T10",1906
"36","T12","T11",7269
"37","T12","T12",46515
"38","T12","T2",5728
"39","T12","T3",2921
"40","T12","T4",3764
"41","T12","T5",142
"42","T12","T6",1261
"43","T12","T8",856
"44","T2","T1",47427
"45","T2","T11",165
"46","T2","T12",6453
"47","T2","T2",23219
"48","T2","T3",12472
"49","T2","T4",7762
"50","T2","T5",563
"51","T2","T6",1068
"52","T2","T8",122
"53","T3","T1",45772
"54","T3","T12",896
"55","T3","T2",5108
"56","T3","T3",13442
"57","T3","T4",15843
"58","T3","T5",1406
"59","T3","T6",1413
"60","T3","T8",423
"61","T4","T1",66223
"62","T4","T10",103
"63","T4","T12",101
"64","T4","T2",267
"65","T4","T3",11238
"66","T4","T4",53733
"67","T4","T5",11804
"68","T4","T6",4989
"69","T4","T8",862
"70","T5","T1",49530
"71","T5","T12",103
"72","T5","T2",371
"73","T5","T3",4107
"74","T5","T4",30211
"75","T5","T5",19682
"76","T5","T6",6840
"77","T5","T8",1162
"78","T6","T1",47133
"79","T6","T10",233
"80","T6","T11",158
"81","T6","T12",206
"82","T6","T2",132
"83","T6","T3",1485
"84","T6","T4",5757
"85","T6","T5",5291
"86","T6","T6",14574
"87","T6","T7",2058
"88","T6","T8",4921
"89","T6","T9",102
"90","T7","T1",28020
"91","T7","T10",268
"92","T7","T11",125
"93","T7","T3",391
"94","T7","T4",2394
"95","T7","T5",743
"96","T7","T6",7202
"97","T7","T7",12433
"98","T7","T8",8703
"99","T7","T9",2312
"100","T8","T1",58770
"101","T8","T10",2354
"102","T8","T11",287
"103","T8","T12",743
"104","T8","T2",103
"105","T8","T3",1254
"106","T8","T4",3646
"107","T8","T5",787
"108","T8","T6",6269
"109","T8","T7",1945
"110","T8","T8",13722
"111","T8","T9",2689
"112","T9","T1",34869
"113","T9","T10",5314
"114","T9","T11",667
"115","T9","T12",510
"116","T9","T3",568
"117","T9","T4",3568
"118","T9","T6",3865
"119","T9","T7",3916
"120","T9","T8",11944
"121","T9","T9",13122
